playlist a,playlist b,common artists, unique artists
"beverly_hills_barbenheimer","💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana",1,160
"beverly_hills_barbenheimer","barbenheimer💅💣_Aobambi",1,58
"beverly_hills_barbenheimer","barbenheimer_Marianna",0,128
"beverly_hills_barbenheimer","summer_of_barbenheimer",0,104
"beverly_hills_barbenheimer","barbenheimer_Dee&FromZimbabwe",1,53
"beverly_hills_barbenheimer","barbenheimerrr💕💥_daisyrain323&others",1,171
"beverly_hills_barbenheimer","barbenheimer_satiahatami",1,111
"beverly_hills_barbenheimer","barbenheimer_jsobo",0,241
"beverly_hills_barbenheimer","barbenheimer_Vanessasapinheiro&RennieKeller",0,127
"beverly_hills_barbenheimer","barbenheimer_JessicaKoebelMillen",2,113
"beverly_hills_barbenheimer","barbenheimer_MrMario",0,100
"beverly_hills_barbenheimer","barbenheimer_hoe_down",0,115
"beverly_hills_barbenheimer","barbenheimer_cody",0,56
"beverly_hills_barbenheimer","barbenheimer_Sam Telford",0,104
"beverly_hills_barbenheimer","barbie_but_its_the_end_of_the_movie_and_youre_sad",0,92
"beverly_hills_barbenheimer","barbie_the_movie_vibes",1,98
"beverly_hills_barbenheimer","barbie_playlist",0,80
"beverly_hills_barbenheimer","im_a_barbie_girl_in_a_barbie_world_nicole<3",2,89
"beverly_hills_barbenheimer","barbie_vibes_",1,81
"beverly_hills_barbenheimer","what_was_i_made_for",0,61
"beverly_hills_barbenheimer","girly_barbie_vibes_",1,78
"beverly_hills_barbenheimer","im_a_barbie_girl_in_a_barbie_world_sukuna",2,242
"beverly_hills_barbenheimer","barbie_can_you_play_ken",0,54
"beverly_hills_barbenheimer","barbie_vibes",0,159
"beverly_hills_barbenheimer","🌷🎀_Barbie_Vibes_🛼🌸",2,172
"beverly_hills_barbenheimer","what_was_i_made_for_type_of_sad",0,55
"beverly_hills_barbenheimer","barbie_movie_vibes_2023",1,93
"beverly_hills_barbenheimer","i_am_literally_oppenheimer__i_am_a_girl_",0,64
"beverly_hills_barbenheimer","oppenheimer_Ben",1,123
"beverly_hills_barbenheimer","an_oppenheimer_playlist",0,43
"beverly_hills_barbenheimer","now_i_am_become_death_the_destroyer_of_worlds_Marissa",0,77
"beverly_hills_barbenheimer","studying_like_oppenheimer_MaxColannino",0,100
"beverly_hills_barbenheimer","oppenheimer_vibes_YirnickvanDijk",0,47
"beverly_hills_barbenheimer","now_i_have_become_death_the_destroyer_of_words_EastPermianFederation",0,48
"beverly_hills_barbenheimer","oppenheimer_vibes_SUGABUSH",0,58
"beverly_hills_barbenheimer","now_i_am_become_death_the_destroyer_of_worlds_Eren",0,88
"beverly_hills_barbenheimer","oppenheimer_Nadia",0,62
"beverly_hills_barbenheimer","oppenheimer_vibes_PetroAlexiou",0,53
"beverly_hills_barbenheimer","oppenheimer_vibes_raziqsafri",0,48
"beverly_hills_barbenheimer","oppenheimer_vibes_Dugger",0,69
"beverly_hills_barbenheimer","oppenheimer_vibes_Sorenjc",1,66
"beverly_hills_barbenheimer","oppenheimer_vibes_Athlaros",1,64
"beverly_hills_barbenheimer","oppenheimer_-_a_study_playlist",0,56
"beverly_hills_barbenheimer","moon_wives",0,52
"beverly_hills_barbenheimer","atmosphere_temple",0,41
"beverly_hills_barbenheimer","battle_standard",0,46
"beverly_hills_barbenheimer","mood__ominous",0,51
"beverly_hills_barbenheimer","erebos",0,56
"beverly_hills_barbenheimer","knights_of_shallow_lake",0,58
"beverly_hills_barbenheimer","helviti_batr_vessels_to_elsewhere",0,50
"beverly_hills_barbenheimer","lurkers_below",0,53
"beverly_hills_barbenheimer","hearthstone",0,56
"beverly_hills_barbenheimer","pot_tyr",0,66
"beverly_hills_barbenheimer","atmosphere_nature",0,66
"beverly_hills_barbenheimer","grave_lady",0,45
"beverly_hills_barbenheimer","dnd",0,39
"beverly_hills_barbenheimer","music_intrigue",0,61
"beverly_hills_barbenheimer","critical_role",0,40
"beverly_hills_barbenheimer","music_tavern",0,43
"beverly_hills_barbenheimer","monsters_undead",0,52
"beverly_hills_barbenheimer","dark__creepy",0,62
"beverly_hills_barbenheimer","atmosphere_the_town",0,100
"beverly_hills_barbenheimer","dd_ravenloft",0,91
"beverly_hills_barbenheimer","ambient_cavern",0,39
"beverly_hills_barbenheimer","mystical",0,47
"beverly_hills_barbenheimer","skt_maelstrom",0,42
"beverly_hills_barbenheimer","tropical",0,38
"beverly_hills_barbenheimer","local_-_castle_-_dark_fantasy_rpg",0,44
"beverly_hills_barbenheimer","unholy_place",0,48
"beverly_hills_barbenheimer","ambient_mystical",0,39
"beverly_hills_barbenheimer","monsters_hags",0,50
"beverly_hills_barbenheimer","dd_synth_dungeon",0,72
"beverly_hills_barbenheimer","mood_-_ghosts_-_dark_fantasy_rpg",0,47
"beverly_hills_barbenheimer","horror",0,48
"beverly_hills_barbenheimer","music_combat_normal",0,66
"beverly_hills_barbenheimer","mysterious",0,50
"beverly_hills_barbenheimer","music_awe",0,47
"beverly_hills_barbenheimer","music_desert",0,60
"beverly_hills_barbenheimer","dd_desolation",1,99
"beverly_hills_barbenheimer","dd_traveling_tinkerers__traders",0,56
"beverly_hills_barbenheimer","monsters_dragons",0,40
"beverly_hills_barbenheimer","arabian_nights",0,96
"beverly_hills_barbenheimer","monsters_tribesmen",0,48
"beverly_hills_barbenheimer","music_sneaky",0,46
"beverly_hills_barbenheimer","local_-_dungeon_-_dark_fantasy_rpg",0,62
"beverly_hills_barbenheimer","peaceful_fantasy_music",0,65
"beverly_hills_barbenheimer","rpg_action_music",0,128
"beverly_hills_barbenheimer","local_-_city_-_dark_fantasy_rpg",0,56
"beverly_hills_barbenheimer","local_-_inn_-_dark_fantasy_rpg",0,47
"beverly_hills_barbenheimer","situation_chase",0,75
"beverly_hills_barbenheimer","mood_-_war_-_dark_fantasy_rpg",0,42
"beverly_hills_barbenheimer","atmosphere_the_desert",0,57
"beverly_hills_barbenheimer","sea_shanties",0,65
"beverly_hills_barbenheimer","dd_space",0,68
"beverly_hills_barbenheimer","dd_a_pleasant_village",0,92
"beverly_hills_barbenheimer","mood_-_goth_-_dark_fantasy_rpg",0,40
"beverly_hills_barbenheimer","dd_taverns",0,76
"beverly_hills_barbenheimer","dd_night_in_the_city",0,70
"beverly_hills_barbenheimer","ambient_mountain_pass",0,38
"beverly_hills_barbenheimer","rpg_dark_music",0,132
"beverly_hills_barbenheimer","dd_sci-fi_action",1,55
"beverly_hills_barbenheimer","mood_-_fey_-_dark_fantasy_rpg",0,42
"beverly_hills_barbenheimer","local_-_tribal_-_dark_fantasy_rpg",0,55
"beverly_hills_barbenheimer","setting_chult",0,43
"beverly_hills_barbenheimer","atmosphere_the_capital",0,41
"beverly_hills_barbenheimer","rpg_royal_court_ambiance",0,264
"beverly_hills_barbenheimer","holy_ground",0,52
"beverly_hills_barbenheimer","dd_ancient_ruins",0,80
"beverly_hills_barbenheimer","atmosphere_the_saloon",0,40
"beverly_hills_barbenheimer","atmosphere_the_tavern",0,59
"beverly_hills_barbenheimer","atmosphere_the_road",0,105
"beverly_hills_barbenheimer","dd_action_time",0,96
"beverly_hills_barbenheimer","music_wistful",0,48
"beverly_hills_barbenheimer","atmosphere_the_dungeon",0,44
"beverly_hills_barbenheimer","desolate",0,38
"beverly_hills_barbenheimer","combat_epic",0,95
"beverly_hills_barbenheimer","combat_duel",0,69
"beverly_hills_barbenheimer","dark_haunting_music",0,156
"beverly_hills_barbenheimer","atmosphere_the_wild",0,125
"beverly_hills_barbenheimer","combat_tough",0,113
"beverly_hills_barbenheimer","music_suspense",0,57
"beverly_hills_barbenheimer","mood_-_funny_-_dark_fantasy_rpg",0,41
"beverly_hills_barbenheimer","music_adventure",0,41
"beverly_hills_barbenheimer","manor__royalty",0,53
"beverly_hills_barbenheimer","large_scale_battle",0,39
"beverly_hills_barbenheimer","mood_mysterious",0,81
"beverly_hills_barbenheimer","strahd_-_strahd",0,72
"beverly_hills_barbenheimer","boss_favorites",0,47
"beverly_hills_barbenheimer","challenge__chase_scenes",0,48
"beverly_hills_barbenheimer","atmosphere_the_fey",0,49
"beverly_hills_barbenheimer","mood_-_danger_-_dark_fantasy_rpg",0,51
"beverly_hills_barbenheimer","setting_barovia",0,48
"beverly_hills_barbenheimer","mood_-_death_-_dark_fantasy_rpg",0,52
"beverly_hills_barbenheimer","city",0,84
"beverly_hills_barbenheimer","mood_tense",0,81
"beverly_hills_barbenheimer","village__pub",0,54
"beverly_hills_barbenheimer","road",0,49
"beverly_hills_barbenheimer","mood_serious",0,96
"beverly_hills_barbenheimer","music_combat_brutal",0,57
"beverly_hills_barbenheimer","mood_-_mistery_-_dark_fantasy_rpg",0,54
"beverly_hills_barbenheimer","battle_-_regular_-_dark_fantasy_rpg",0,54
"beverly_hills_barbenheimer","mood_somber",0,105
"beverly_hills_barbenheimer","dd_horrific_action",0,61
"beverly_hills_barbenheimer","a_fated_duel",0,38
"beverly_hills_barbenheimer","mood_denouement",0,61
"beverly_hills_barbenheimer","monsters_giants",0,57
"beverly_hills_barbenheimer","mood_joyful",0,49
"beverly_hills_barbenheimer","mood_-_calm_-_dark_fantasy_rpg",0,57
"beverly_hills_barbenheimer","dd_haunted_house",0,77
"beverly_hills_barbenheimer","mood_-_tension_-_dark_fantasy_rpg",0,53
"beverly_hills_barbenheimer","monsters_beasts",0,41
"beverly_hills_barbenheimer","mood_ridiculous",0,47
"beverly_hills_barbenheimer","thrash",0,39
"beverly_hills_barbenheimer","dd_cyber_action",1,75
"beverly_hills_barbenheimer","combat_boss",0,105
"beverly_hills_barbenheimer","battle_-_horror_-_dark_fantasy_rpg",0,53
"beverly_hills_barbenheimer","monsters_orcs",0,46
"beverly_hills_barbenheimer","combat_standard",0,93
"beverly_hills_barbenheimer","dd_underdark",0,88
"beverly_hills_barbenheimer","doom",0,39
"beverly_hills_barbenheimer","beautiful_emotional_music",0,139
"beverly_hills_barbenheimer","mood_creepy",0,81
"beverly_hills_barbenheimer","situation_stealth",0,68
"beverly_hills_barbenheimer","rpg_epic_action_music",0,88
"beverly_hills_barbenheimer","otherworld",0,42
"beverly_hills_barbenheimer","russell_shaw_pinnacle_tracks",0,38
"beverly_hills_barbenheimer","battle_-_epic_-_dark_fantasy_rpg",0,48
"beverly_hills_barbenheimer","dd_sacred",0,85
"beverly_hills_barbenheimer","monsters_goblins",0,43
"beverly_hills_barbenheimer","local_-_temple_-_dark_fantasy_rpg",0,45
"beverly_hills_barbenheimer","monsters_aberrations",0,50
"beverly_hills_barbenheimer","dd_wild_action",0,62
"beverly_hills_barbenheimer","local_-_sea_-_dark_fantasy_rpg",0,43
"beverly_hills_barbenheimer","ambient_storm",0,43
"beverly_hills_barbenheimer","ominous",0,62
"beverly_hills_barbenheimer","music_evil",0,47
"beverly_hills_barbenheimer","dd_hardcore_action",0,60
"beverly_hills_barbenheimer","dd_boss_battles",1,96
"beverly_hills_barbenheimer","mood_-_dark_-_dark_fantasy_rpg",0,57
"beverly_hills_barbenheimer","intensity_3",0,49
"beverly_hills_barbenheimer","ambient_forest",0,45
"beverly_hills_barbenheimer","dd_astral",0,74
"beverly_hills_barbenheimer","dd_fierce_action",0,70
"beverly_hills_barbenheimer","sad",0,54
"beverly_hills_barbenheimer","dd_the_wilds",0,76
"beverly_hills_barbenheimer","dd_creepy",0,69
"beverly_hills_barbenheimer","intensity_2",0,47
"beverly_hills_barbenheimer","dd_cinematic",1,87
"beverly_hills_barbenheimer","mood_pleasant",0,80
"beverly_hills_barbenheimer","combat_horrifying",0,56
"beverly_hills_barbenheimer","atmosphere_the_manor",0,50
"beverly_hills_barbenheimer","atmosphere_the_underdark",0,47
"beverly_hills_barbenheimer","mood_ominous",0,106
"beverly_hills_barbenheimer","ambient_ocean",0,43
"beverly_hills_barbenheimer","local_-_nature_-_dark_fantasy_rpg",0,50
"beverly_hills_barbenheimer","idle__peaceful",0,65
"beverly_hills_barbenheimer","mood_triumphant",0,62
"beverly_hills_barbenheimer","intensity_1",0,52
"beverly_hills_barbenheimer","dd_dungeons",0,96
"beverly_hills_barbenheimer","royal_qualms",0,38
"beverly_hills_barbenheimer","blood_moon",0,46
"beverly_hills_barbenheimer","music_safe",0,57
"beverly_hills_barbenheimer","atmosphere_town",0,43
"beverly_hills_barbenheimer","valormore",0,46
"beverly_hills_barbenheimer","rpg_background_music",0,175
"beverly_hills_barbenheimer","dd_fantasy_overworld",1,127
"beverly_hills_barbenheimer","music_catharsis",0,53
"beverly_hills_barbenheimer","mood_-_victory_-_dark_fantasy_rpg",0,44
"beverly_hills_barbenheimer","pot_rivellon",0,57
"beverly_hills_barbenheimer","fantasymusic",0,64
"beverly_hills_barbenheimer","road_trip_____",0,163
"beverly_hills_barbenheimer","summer_road_trip_vibes",0,199
"beverly_hills_barbenheimer","roadtrip_",0,195
"beverly_hills_barbenheimer","the_ultimate_roadtrip_playlist__",1,406
"beverly_hills_barbenheimer","all_american_road_trip",0,59
"beverly_hills_barbenheimer","road_trippin_",2,1319
"beverly_hills_barbenheimer","road_trip____",0,66
"beverly_hills_barbenheimer","roadtrippin_",0,240
"beverly_hills_barbenheimer","road_trip_",3,268
"beverly_hills_barbenheimer","90s__00s_road_trippin",0,126
"beverly_hills_barbenheimer","3. millennial_nostalgia_road_trip",0,254
"beverly_hills_barbenheimer","12. road_trip (agustdlc)",0,151
"beverly_hills_barbenheimer","11. road_trip (darya)",0,121
"beverly_hills_barbenheimer","10. road_trip (kat)",3,268
"beverly_hills_barbenheimer","18. best_roadtrip_playlist_of_all_time",0,461
"beverly_hills_barbenheimer","6. road-trip (meghan)",0,225
"beverly_hills_barbenheimer","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",1,322
"beverly_hills_barbenheimer","20. lets_go_girls_-_a_road_trip_playlist",1,106
"beverly_hills_barbenheimer","13. road_trip (Mackie)",0,364
"beverly_hills_barbenheimer","16. fun_road_trip_bangers",2,755
"beverly_hills_barbenheimer","23. roadtrip_bangers",3,421
"beverly_hills_barbenheimer","14. road-trip (maleena)",0,281
"beverly_hills_barbenheimer","19. 2000s-2010s_roadtrip_songs",1,229
"beverly_hills_barbenheimer","17. 70s_80s_90s_road_trip_jams",1,146
"beverly_hills_barbenheimer","24. conic_songs_for_car_rides",1,204
"beverly_hills_barbenheimer","9. road_trip_jams",1,200
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer💅💣_Aobambi",7,134
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_Marianna",8,200
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","summer_of_barbenheimer",5,182
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_Dee&FromZimbabwe",2,139
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimerrr💕💥_daisyrain323&others",12,237
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_satiahatami",6,189
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_jsobo",6,317
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_Vanessasapinheiro&RennieKeller",16,183
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_JessicaKoebelMillen",11,183
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_MrMario",1,186
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_hoe_down",4,195
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_cody",6,132
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_Sam Telford",19,154
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbie_but_its_the_end_of_the_movie_and_youre_sad",5,170
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbie_the_movie_vibes",7,174
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbie_playlist",3,162
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","im_a_barbie_girl_in_a_barbie_world_nicole<3",9,163
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbie_vibes_",7,157
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","what_was_i_made_for",6,137
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","girly_barbie_vibes_",4,160
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","im_a_barbie_girl_in_a_barbie_world_sukuna",13,308
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbie_can_you_play_ken",1,140
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbie_vibes",13,221
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","🌷🎀_Barbie_Vibes_🛼🌸",17,230
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","what_was_i_made_for_type_of_sad",3,137
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbie_movie_vibes_2023",12,159
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","i_am_literally_oppenheimer__i_am_a_girl_",0,152
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_Ben",6,201
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","an_oppenheimer_playlist",0,131
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","now_i_am_become_death_the_destroyer_of_worlds_Marissa",3,159
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","studying_like_oppenheimer_MaxColannino",0,188
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_vibes_YirnickvanDijk",1,133
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","now_i_have_become_death_the_destroyer_of_words_EastPermianFederation",0,136
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_vibes_SUGABUSH",1,144
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","now_i_am_become_death_the_destroyer_of_worlds_Eren",0,176
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_Nadia",0,150
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_vibes_PetroAlexiou",8,125
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_vibes_raziqsafri",0,136
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_vibes_Dugger",1,155
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_vibes_Sorenjc",5,146
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_vibes_Athlaros",0,154
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","oppenheimer_-_a_study_playlist",0,144
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","moon_wives",0,140
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_temple",0,129
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","battle_standard",0,134
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood__ominous",0,139
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","erebos",0,144
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","knights_of_shallow_lake",0,146
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","helviti_batr_vessels_to_elsewhere",0,138
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","lurkers_below",0,141
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","hearthstone",0,144
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","pot_tyr",0,154
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_nature",0,154
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","grave_lady",0,133
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dnd",0,127
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_intrigue",0,149
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","critical_role",0,128
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_tavern",0,131
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","monsters_undead",0,140
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dark__creepy",0,150
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_town",0,188
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_ravenloft",0,179
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","ambient_cavern",0,127
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mystical",0,135
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","skt_maelstrom",0,130
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","tropical",0,126
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","local_-_castle_-_dark_fantasy_rpg",0,132
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","unholy_place",0,136
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","ambient_mystical",0,127
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","monsters_hags",0,138
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_synth_dungeon",0,160
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_-_ghosts_-_dark_fantasy_rpg",0,135
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","horror",0,136
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_combat_normal",0,154
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mysterious",0,138
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_awe",0,135
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_desert",0,148
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_desolation",0,189
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_traveling_tinkerers__traders",0,144
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","monsters_dragons",0,128
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","arabian_nights",0,184
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","monsters_tribesmen",0,136
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_sneaky",0,134
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","local_-_dungeon_-_dark_fantasy_rpg",0,150
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","peaceful_fantasy_music",0,153
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","rpg_action_music",0,216
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","local_-_city_-_dark_fantasy_rpg",0,144
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","local_-_inn_-_dark_fantasy_rpg",0,135
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","situation_chase",0,163
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_-_war_-_dark_fantasy_rpg",0,130
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_desert",0,145
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","sea_shanties",0,153
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_space",0,156
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_a_pleasant_village",0,180
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_-_goth_-_dark_fantasy_rpg",0,128
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_taverns",0,164
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_night_in_the_city",0,158
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","ambient_mountain_pass",0,126
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","rpg_dark_music",0,220
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_sci-fi_action",0,145
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_-_fey_-_dark_fantasy_rpg",0,130
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","local_-_tribal_-_dark_fantasy_rpg",0,143
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","setting_chult",0,131
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_capital",0,129
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","rpg_royal_court_ambiance",0,352
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","holy_ground",0,140
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_ancient_ruins",0,168
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_saloon",0,128
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_tavern",0,147
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_road",0,193
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dd_action_time",0,184
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_wistful",0,136
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_dungeon",0,132
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","desolate",0,126
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","combat_epic",0,183
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","combat_duel",0,157
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","dark_haunting_music",0,244
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_wild",0,213
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","combat_tough",0,201
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_suspense",0,145
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_-_funny_-_dark_fantasy_rpg",0,129
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_adventure",0,129
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","manor__royalty",0,141
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","large_scale_battle",0,127
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_mysterious",0,169
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","strahd_-_strahd",0,160
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","boss_favorites",0,135
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","challenge__chase_scenes",0,136
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","atmosphere_the_fey",0,137
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_-_danger_-_dark_fantasy_rpg",0,139
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","setting_barovia",0,136
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_-_death_-_dark_fantasy_rpg",0,140
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","city",0,172
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_tense",0,169
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","village__pub",0,142
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","road",0,137
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","mood_serious",0,184
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","music_combat_brutal",0,145
